dataname,cdm_model,estimate_method,mean_imv_all,mean_imv_kfold,sd_imv_kfold
cdm_ecpe,DINA,MAP,-0.01191815191857815,-0.02116575836201417,0.0018715093938688285
cdm_ecpe,DINA,mp,-0.0028369892865167568,-0.005703213267093997,0.0014459428817608939
cdm_ecpe,GDINA,MAP,-0.006652104713104389,-0.020220684810712156,0.0017659745510616896
cdm_ecpe,GDINA,mp,0.001609311993680014,-0.004026990820372887,9.737147701212225e-4
frac11q3,DINA,MAP,-0.02868058069340782,-0.018483067750702013,0.005139701377866029
frac11q3,DINA,mp,-0.022321500796346122,0.0037196935396216204,0.009538573912350632
frac11q3,GDINA,MAP,0.011543453222302758,-0.04379813165207511,0.026646281189694282
frac11q3,GDINA,mp,0.016243069708823613,0.019358644335657763,0.00880193631689996
frac11q5,DINA,MAP,-8.247621202317052e-4,-0.01740183167925501,0.0024654536681667696
frac11q5,DINA,mp,2.4460899570685193e-4,0.01394965818647424,0.00851138659203466
frac11q5,GDINA,MAP,0.039661258497521744,-0.2856792118620722,0.1021916471118246
frac11q5,GDINA,mp,0.04170693257794407,0.004077491067895951,0.008159714762982469
frac15q5,DINA,MAP,-0.005908187393851382,-0.030432894008427386,0.009781787438728104
frac15q5,DINA,mp,8.050062248423912e-4,0.004000109110067346,0.007929930008973617
frac15q5,GDINA,MAP,0.023862617768717117,-0.15119028763641024,0.05426862446417244
frac15q5,GDINA,mp,0.02349011045125935,-0.006795671361757968,0.007146743317976798
frac20,DINA,MAP,0.01851538736998071,-0.009953884542984032,0.005024798040401371
frac20,DINA,mp,0.026080804207018818,0.015434374779084012,0.008615412033420974
frac20,GDINA,MAP,0.044911007488796395,-0.3272194208296129,0.08083194010320194
frac20,GDINA,mp,0.048899359324306196,-0.0036691104660570855,0.011666813200048623
mcmi_mokken,DINA,MAP,-0.025321727306641565,-0.03992267815461948,0.003217813631959999
mcmi_mokken,DINA,mp,-0.01659414786303437,-0.02372516619540921,0.0017413302346386062
mcmi_mokken,GDINA,MAP,-0.013589020973714025,-0.03179228891322204,0.0024476072907022
mcmi_mokken,GDINA,mp,-0.004092041180320599,-0.015796774197148786,0.0017791416986497942
mental_health,DINA,MAP,0.006804003293977282,-0.005832795418687592,0.004415395433197518
mental_health,DINA,mp,0.012416774799590623,0.005228000111085074,0.002427788551247508
mental_health,GDINA,MAP,0.008582684993127967,-0.005513587885693847,0.0042830036606967105
mental_health,GDINA,mp,0.014855096308433166,0.008216306332938047,0.0017450051115484731
timss_2011,DINA,MAP,0.0042063739710734875,-0.07540653010509019,0.030338039431623998
timss_2011,DINA,mp,0.016130924410747954,-0.0131779768344032,0.005313358646164744
timss_2011,GDINA,MAP,0.024558937231587107,-0.2259597847879273,0.1302228841020312
timss_2011,GDINA,mp,0.028106831317865264,-0.011629836628807478,0.001921210970498403
