dataset,median_DINA,Q1_DINA,Q3_DINA,IQR_DINA,median_GDINA,Q1_GDINA,Q3_GDINA,IQR_GDINA
cdm_ecpe,0.7587263495675114,0.7382849814693442,0.7936170344846827,0.0553320530153385,0.6314486384536541,0.5607736102318457,0.6865060194146841,0.12573240918283846
frac11q3,0.7863164368526039,0.7700535521955355,0.874699582228973,0.10464603003343753,0.37893337458201903,0.30965159228239447,0.45658146055221077,0.1469298682698163
frac11q5,0.5751299093773548,0.5088999085472297,0.7129122357503682,0.20401232720313855,0.2776867667263695,0.03591364299158282,0.4101316804265684,0.37421803743498555
frac15q5,0.5202439453929804,0.4427941803700806,0.6871074026228441,0.24431322225276347,0.3125626378727877,0.2091910334495398,0.36285280854710766,0.15366177509756787
frac20,0.5538526117374667,0.4932880022125451,0.661106293741337,0.1678182915287919,0.3309315057372241,0.21440496208862608,0.40991755395832685,0.19551259186970077
mcmi_mokken,0.8124269223849783,0.750809165445474,0.8153395922873172,0.06453042684184318,0.6671279191062915,0.5814356246835353,0.6996560337692006,0.11822040908566533
mental_health,0.4829651858384494,0.23858728707034638,0.682946082657031,0.4443587955866847,0.4126076237185936,0.24346952574132202,0.6026682676046026,0.35919874186328055
prob_knowledge,0.6244092890181072,0.505648515057388,0.6893574532425154,0.18370893818512746,0.4235172165645079,0.4020964176732538,0.45948774906682677,0.05739133139357294
rational_number,0.6693026038989534,0.5325687269897759,0.7537292188259268,0.22116049183615094,0.411898756928317,0.3061325192615433,0.5295205884175722,0.22338806915602893
roar_pa,0.5584951402575077,0.5535574055737398,0.563290087078009,0.009732681504269203,0.5584951402575077,0.5535574055737398,0.563290087078009,0.009732681504269203
timss_2011,0.6292377884715837,0.5487929562888099,0.7108574773441512,0.1620645210553413,0.4956997421988456,0.3785547929544054,0.6171786007841605,0.23862380782975512
