dataname,cdm_model,sample_method,mean_imv_1,sd_imv_1,mean_imv_2,sd_imv_2,mean_imv_3,sd_imv_3
frac20,DINA,all,0.01851751307424512,NA,0.02608482486453671,NA,0.0074297316375550315,NA
mcmi_mokken,DINA,all,-0.025321672807417393,NA,-0.016593928648263406,NA,0.008954486742608682,NA
cdm_ecpe,DINA,all,-0.011917960074041325,NA,-0.002832340054407876,NA,0.009195208143156082,NA
timss_2011,DINA,all,0.0042084885400819295,NA,0.01611711688343995,NA,0.011858721051711863,NA
mental_health,DINA,all,0.006803981023601432,NA,0.012416533604924307,NA,0.005574622952540059,NA
roar_pa,DINA,all,-0.0026812132111645177,NA,4.6687603924848984e-4,NA,0.003156552641055943,NA
frac15q5,DINA,all,-0.005908225413841566,NA,8.129116434267648e-4,NA,0.006761083060028685,NA
frac11q3,DINA,all,-0.02868040951930658,NA,-0.022321328501594184,NA,0.006546847278726634,NA
frac11q5,DINA,all,-8.245860371431488e-4,NA,2.4478526724900664e-4,NA,0.001070253820748944,NA
frac20,DINA,kfold,-0.01677556144219892,0.007275462571537568,0.015615201639085509,0.0027473871484846157,0.03299550126517863,0.009157138612176877
mcmi_mokken,DINA,kfold,-0.03705650832312262,0.001739747538964146,-0.023429540804665517,0.0024516198727977325,0.014151041808215395,0.001518412954055661
cdm_ecpe,DINA,kfold,-0.021470105336975465,0.0020338308812651385,-0.006398976040104619,0.0010619453822685433,0.015403856709123035,0.001386409763346143
timss_2011,DINA,kfold,-0.08051366979928615,0.0182017781171776,-0.012744622998749011,0.005868913118717891,0.07399124121789957,0.019030139784650235
mental_health,DINA,kfold,-0.008599775845722777,0.004216978024209442,0.005933900018101378,0.0018584374939096485,0.014670634944460423,0.003537842541907225
roar_pa,DINA,kfold,-0.008093051447024775,0.002501822875789561,-0.0013198908712001173,0.0025180505079015415,0.0068295824063089984,0.0017045489278351555
frac15q5,DINA,kfold,-0.03588296393581142,0.024722652424646805,9.37189038763882e-4,0.00938078433584375,0.038565044767750564,0.018717826174176753
frac11q3,DINA,kfold,-0.014271558464880336,0.003919281104442926,0.003647753043812032,0.007871289609576837,0.018186043667595558,0.008144248275156961
frac11q5,DINA,kfold,-0.01826548747968924,0.01737707247653972,0.01677217791204426,0.005302533751811969,0.035897682332436544,0.015230356374001922
frac20,GDINA,all,0.044911114884065836,NA,0.048899467129495826,NA,0.0038169296781501915,NA
mcmi_mokken,GDINA,all,-0.013589020973713376,NA,-0.004092041180319944,NA,0.009627812337174269,NA
cdm_ecpe,GDINA,all,-0.006652104712169475,NA,0.001609311994622703,NA,0.008316740535699595,NA
timss_2011,GDINA,all,0.024558937231587107,NA,0.028106831317865264,NA,0.0034628501663991696,NA
mental_health,GDINA,all,0.008582684993762846,NA,0.014855096309071994,NA,0.006219035294412114,NA
roar_pa,GDINA,all,-0.0026808748001381872,NA,4.667569319770633e-4,NA,0.0031560928218281868,NA
frac15q5,GDINA,all,0.02386291792514026,NA,0.02349041049847794,NA,-3.638254888820549e-4,NA
frac11q3,GDINA,all,0.011543631485022549,NA,0.016243248799749463,NA,0.004645985767146319,NA
frac11q5,GDINA,all,0.03966144171539836,NA,0.04170711615632662,NA,0.0019676351924266685,NA
frac20,GDINA,kfold,-0.3442542553710628,0.10550201232907676,-0.010797282620679177,0.006912972928792979,0.5370745020165641,0.22260537244525294
mcmi_mokken,GDINA,kfold,-0.03255586395818688,0.004627963836265571,-0.016137970330482178,0.0024451684224465527,0.016980235540912963,0.0027918773842649735
cdm_ecpe,GDINA,kfold,-0.02199847461599736,0.002408105326954735,-0.004957874398268907,8.246462436630761e-4,0.017427333545089328,0.001779369286479448
timss_2011,GDINA,kfold,-0.1413057086039079,0.0217355247415884,-0.010677947000316962,0.0040480140979018775,0.15271690269959073,0.029631301694333805
mental_health,GDINA,kfold,-0.004008177888780121,0.00227585567284645,0.008161712592693132,0.0019956420565653745,0.012219880602443,0.0011090916212521272
roar_pa,GDINA,kfold,-0.006577077304954481,0.004904255709235491,-3.3628369404037914e-4,0.004294901434485558,0.006285024395113262,0.001173087978847565
frac15q5,GDINA,kfold,-0.1453470518630665,0.03363757116546031,-0.005639308117610796,0.0062590576590240525,0.1650128951411287,0.04954800296798443
frac11q3,GDINA,kfold,-0.033865471783828593,0.00832801149708314,0.020813877661287315,0.005948273660050471,0.05665025941540486,0.009929084247850732
frac11q5,GDINA,kfold,-0.3574887037126455,0.10500640923131396,-0.005404699284772783,0.02649040664583753,0.5736439286892357,0.20046701211663806
