dataname,cdm_model,sample_method,mean_imv_1,sd_imv_1,mean_imv_2,sd_imv_2,mean_imv_3,sd_imv_3
frac20,DINA,all,0.01851751307424512,NA,0.02608482486453671,NA,0.00742973163755503,NA
mcmi_mokken,DINA,all,-0.02532167280741739,NA,-0.0165939286482634,NA,0.00895448674260868,NA
cdm_ecpe,DINA,all,-0.01191796007404132,NA,-0.00283234005440787,NA,0.00919520814315608,NA
timss_2011,DINA,all,0.00420848854008192,NA,0.01611711688343995,NA,0.01185872105171186,NA
mental_health,DINA,all,0.00680398102360143,NA,0.0124165336049243,NA,0.00557462295254005,NA
roar_pa,DINA,all,-0.00268121321116451,NA,4.6687603924848984e-4,NA,0.00315655264105594,NA
frac15q5,DINA,all,-0.00590822541384156,NA,8.129116434267648e-4,NA,0.00676108306002868,NA
frac11q3,DINA,all,-0.02868040951930658,NA,-0.02232132850159418,NA,0.00654684727872663,NA
frac11q5,DINA,all,-8.245860371431488e-4,NA,2.4478526724900664e-4,NA,0.00107025382074894,NA
frac20,DINA,kfold,-0.01677556144219892,0.00727546257153756,0.0156152016390855,0.00274738714848461,0.03299550126517863,0.00915713861217687
mcmi_mokken,DINA,kfold,-0.03705650832312262,0.00173974753896414,-0.02342954080466551,0.00245161987279773,0.01415104180821539,0.00151841295405566
cdm_ecpe,DINA,kfold,-0.02147010533697546,0.00203383088126513,-0.00639897604010461,0.00106194538226854,0.01540385670912303,0.00138640976334614
timss_2011,DINA,kfold,-0.08051366979928615,0.0182017781171776,-0.01274462299874901,0.00586891311871789,0.07399124121789957,0.01903013978465023
mental_health,DINA,kfold,-0.00859977584572277,0.00421697802420944,0.00593390001810137,0.00185843749390964,0.01467063494446042,0.00353784254190722
roar_pa,DINA,kfold,-0.00809305144702477,0.00250182287578956,-0.00131989087120011,0.00251805050790154,0.00682958240630899,0.00170454892783515
frac15q5,DINA,kfold,-0.03588296393581142,0.0247226524246468,9.37189038763882e-4,0.00938078433584375,0.03856504476775056,0.01871782617417675
frac11q3,DINA,kfold,-0.01427155846488033,0.00391928110444292,0.00364775304381203,0.00787128960957683,0.01818604366759555,0.00814424827515696
frac11q5,DINA,kfold,-0.01826548747968924,0.01737707247653972,0.01677217791204426,0.00530253375181196,0.03589768233243654,0.01523035637400192
frac20,GDINA,all,0.04491111488406583,NA,0.04889946712949582,NA,0.00381692967815019,NA
mcmi_mokken,GDINA,all,-0.01358902097371337,NA,-0.00409204118031994,NA,0.00962781233717426,NA
cdm_ecpe,GDINA,all,-0.00665210471216947,NA,0.0016093119946227,NA,0.00831674053569959,NA
timss_2011,GDINA,all,0.0245589372315871,NA,0.02810683131786526,NA,0.00346285016639916,NA
mental_health,GDINA,all,0.00858268499376284,NA,0.01485509630907199,NA,0.00621903529441211,NA
roar_pa,GDINA,all,-0.00268087480013818,NA,4.667569319770633e-4,NA,0.00315609282182818,NA
frac15q5,GDINA,all,0.02386291792514026,NA,0.02349041049847794,NA,-3.638254888820549e-4,NA
frac11q3,GDINA,all,0.01154363148502254,NA,0.01624324879974946,NA,0.00464598576714631,NA
frac11q5,GDINA,all,0.03966144171539836,NA,0.04170711615632662,NA,0.00196763519242666,NA
frac20,GDINA,kfold,-0.3442542553710628,0.10550201232907676,-0.01079728262067917,0.00691297292879297,0.5370745020165641,0.22260537244525297
mcmi_mokken,GDINA,kfold,-0.03255586395818688,0.00462796383626557,-0.01613797033048217,0.00244516842244655,0.01698023554091296,0.00279187738426497
cdm_ecpe,GDINA,kfold,-0.02199847461599736,0.00240810532695473,-0.0049578743982689,8.246462436630761e-4,0.01742733354508932,0.00177936928647944
timss_2011,GDINA,kfold,-0.1413057086039079,0.0217355247415884,-0.01067794700031696,0.00404801409790187,0.1527169026995907,0.0296313016943338
mental_health,GDINA,kfold,-0.00400817788878012,0.00227585567284645,0.00816171259269313,0.00199564205656537,0.012219880602443,0.00110909162125212
roar_pa,GDINA,kfold,-0.00657707730495448,0.00490425570923549,-3.3628369404037914e-4,0.00429490143448555,0.00628502439511326,0.00117308797884756
frac15q5,GDINA,kfold,-0.1453470518630665,0.03363757116546031,-0.00563930811761079,0.00625905765902405,0.1650128951411287,0.04954800296798443
frac11q3,GDINA,kfold,-0.033865471783828593,0.00832801149708314,0.02081387766128731,0.00594827366005047,0.05665025941540486,0.00992908424785073
frac11q5,GDINA,kfold,-0.3574887037126455,0.10500640923131396,-0.00540469928477278,0.02649040664583753,0.5736439286892357,0.2004670121166381
prob_knowledge,DINA,all,-0.011296144916163783,NA,-0.005839898546088321,NA,0.005518585107178331,NA
rational_number,DINA,all,0.010526684303082188,NA,0.012894206667697807,NA,0.0023428598189353107,NA
prob_knowledge,DINA,kfold,-0.016283985213044673,0.011408873487793477,2.3598317825398877e-4,0.002490694040337282,0.016888261240457288,0.010407713432159729
rational_number,DINA,kfold,-0.05621363623714431,0.03230093130381789,0.014147023864988473,0.006014270580332276,0.07536323884512265,0.03189149043753655
prob_knowledge,GDINA,all,-0.003934170329275238,NA,-9.661930737429774e-5,NA,0.003852708232315872,NA
rational_number,GDINA,all,0.03826570823060708,NA,0.03740922445671441,NA,-8.24917713359014e-4,NA
prob_knowledge,GDINA,kfold,-0.03254220410143822,0.02049722419478477,-0.0017551574496482108,0.00995413339039899,0.03203356822136014,0.01316606083248661
rational_number,GDINA,kfold,-0.0904266130838457,0.047956361636159524,0.034276091778800206,0.011728499917379344,0.13975247189763426,0.06417390569585373
