estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.03617839427528467,0.04173455457179004,0.007075942722041097,linear,DINA,1
mp,0.038991258634291245,0.05305891330527978,0.005396010317291261,linear,DINA,1
MAP,0.030434767502972544,0.0379198000566723,0.0034624820836141597,linear,DINA,2
mp,0.032796136391704145,0.04582702503149522,0.004396553881593836,linear,DINA,2
MAP,0.03308105973306414,0.030806891217081668,0.01830768749050541,linear,DINA,3
mp,0.033892109328366705,0.03979260643213516,0.02257218424952405,linear,DINA,3
MAP,0.03200358893383517,0.0391363619296735,0.009354377740672045,linear,DINA,4
mp,0.03413802477513011,0.051340481755536356,0.006413795951142923,linear,DINA,4
MAP,0.03277463708923252,0.033333632333484256,0.008940379797375622,linear,DINA,5
mp,0.03618440945644859,0.04748876468510008,0.0033828224255079667,linear,DINA,5
MAP,0.03708276857505732,0.03850644970314543,0.00855028920383846,linear,DINA,6
mp,0.040510930861921486,0.051814245483354615,0.006952474384934214,linear,DINA,6
MAP,0.03808235884035073,0.04840484219348525,0.004668712621120348,linear,DINA,7
mp,0.04067956011672841,0.05458161812220274,0.00700916667918245,linear,DINA,7
MAP,0.033682163939884095,0.04270089383501777,0.005961382388648688,linear,DINA,8
mp,0.034990873772692374,0.053592733464320814,0.00302825778037122,linear,DINA,8
MAP,0.03905165029246841,0.04761113566810657,0.005537824180656289,linear,DINA,9
mp,0.04343694725980338,0.05933437457418573,0.0025714680396867378,linear,DINA,9
MAP,0.03740656802849343,0.04358187494333489,0.007559586489554391,linear,DINA,10
mp,0.04102607364274406,0.05340187324932116,0.004738779130203583,linear,DINA,10
MAP,0.029209638842921114,0.0378304574170965,0.005088644494197843,linear,DINA,11
mp,0.030625606645604316,0.04446421378174858,0.0055839145132609985,linear,DINA,11
MAP,0.03454939415100103,0.04250742262201286,0.007737632123211331,linear,DINA,12
mp,0.0361960060282654,0.05205785497173673,0.005586676775460451,linear,DINA,12
MAP,0.02903940048153509,0.038458746170869626,0.005990614994373033,linear,DINA,13
mp,0.03020849984404517,0.046483831792478676,0.004619577901746121,linear,DINA,13
MAP,0.03173093965844189,0.03826280596041491,0.00752070896720732,linear,DINA,14
mp,0.0339568610981839,0.047090704156396344,0.0054851660888156064,linear,DINA,14
MAP,0.034645818468306125,0.039847612941451095,0.008127070716605043,linear,DINA,15
mp,0.0377600221601362,0.054531795658206025,0.004331924268155246,linear,DINA,15
MAP,0.035055585330574006,0.036652044890337576,0.02061979412656682,linear,DINA,16
mp,0.03740613041109897,0.04062413506338856,0.022913763333776285,linear,DINA,16
MAP,0.03003102306625707,0.04310092449104193,0.011387155114068837,linear,DINA,17
mp,0.033894251908753746,0.0495097573096248,0.009108559878487197,linear,DINA,17
MAP,0.02840459995884414,0.03868477290943116,0.006879160996098732,linear,DINA,18
mp,0.03100484215025161,0.04518372841367256,0.004583515042027962,linear,DINA,18
MAP,0.030442747647886192,0.037211348188037556,0.0015367963762440299,linear,DINA,19
