estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.026220789484449798,0.01429378987297015,0.006759005710574322,linear,GDINA,1
mp,0.03119725747498609,0.03227587839736029,0.006148842234898697,linear,GDINA,1
MAP,0.03847405076505756,0.025719413873911457,0.00935628028132508,linear,GDINA,2
mp,0.043887404802298205,0.04399164261481698,0.008645883865238468,linear,GDINA,2
MAP,0.03731578522539453,0.03191286046223941,0.00890716628422309,linear,GDINA,3
mp,0.041781596495320095,0.048478793962564465,0.010543848491860634,linear,GDINA,3
MAP,0.027926292944074102,0.02313313116875273,0.006821604665704649,linear,GDINA,4
mp,0.03237423882264829,0.036428291335957784,0.0031445399057310115,linear,GDINA,4
MAP,0.03267638769461673,0.03189836847619273,0.008812140711853761,linear,GDINA,5
mp,0.03729796263322767,0.043513849755551844,0.003361936716012281,linear,GDINA,5
MAP,0.030479998379161082,0.01776638309679861,0.010559457306711173,linear,GDINA,6
mp,0.034293812121986844,0.03875366241735417,0.006508079576811288,linear,GDINA,6
MAP,0.03938715452387565,0.03546367733652202,0.004619816602163288,linear,GDINA,7
mp,0.04578169116078727,0.048222255180601165,0.003989975884787326,linear,GDINA,7
MAP,0.02624822211139468,0.010083393588765234,0.006822266465432211,linear,GDINA,8
mp,0.03122641261462261,0.03006482741030359,0.003195392551399849,linear,GDINA,8
MAP,0.031898086800514786,0.019469842991841783,0.0038691126364091763,linear,GDINA,9
mp,0.03707501718503959,0.03774645027467485,0.005450872281741699,linear,GDINA,9
MAP,0.03588179826332293,0.027433400567923948,0.006532665874773502,linear,GDINA,10
mp,0.039674718045479,0.0468683289240325,0.0028209245039964963,linear,GDINA,10
MAP,0.03642624938848117,0.02455180954818172,0.007242356216314238,linear,GDINA,11
mp,0.040958032332235036,0.04471905914889591,0.005013095568667277,linear,GDINA,11
MAP,0.027296212391690555,0.021682584812240377,0.008731517400555128,linear,GDINA,12
mp,0.03200994050824215,0.03899631143989368,0.003032089436037813,linear,GDINA,12
MAP,0.027282512432092416,0.028031409643720043,0.004770057702822824,linear,GDINA,13
mp,0.030672503582985157,0.03740384962698672,0.0034051306984858778,linear,GDINA,13
MAP,0.036448691180563014,0.018909634415892166,0.006000665403330566,linear,GDINA,14
mp,0.04334578404784373,0.04163050147341228,0.004141726098529548,linear,GDINA,14
MAP,0.028462999944888646,0.012303824045949947,0.0074452282677486825,linear,GDINA,15
mp,0.03454255581895301,0.030429025621055147,0.006874719226928556,linear,GDINA,15
MAP,0.03271954128831887,0.031434748579536494,0.008663840260305408,linear,GDINA,16
mp,0.03655054703519041,0.042078384263270034,0.004721067061299035,linear,GDINA,16
MAP,0.029179425426713822,0.009051209964364692,0.012601242743870276,linear,GDINA,17
mp,0.035829665272728115,0.034567624021155624,0.007989147008857958,linear,GDINA,17
MAP,0.034716032535249554,0.030067128461724588,0.015144888169698806,linear,GDINA,18
mp,0.03811060422559213,0.04591743749443432,0.00804134838414594,linear,GDINA,18
MAP,0.03183087734852029,0.013180454716866645,0.011757230431496412,linear,GDINA,19
mp,0.036366365021549434,0.03966865513098049,0.005194529598438443,linear,GDINA,19
MAP,0.032118357800567446,0.03164934030047005,0.006504421972142689,linear,GDINA,20
mp,0.036411716911139674,0.043959541317727995,0.0037424541927198645,linear,GDINA,20
MAP,0.029580484493380996,0.021690211042353844,0.007725935976228701,linear,GDINA,21
mp,0.03420089545941988,0.03834472712852803,0.0056126472151947935,linear,GDINA,21
MAP,0.03027993721229129,0.017927126532157594,0.002482194387129171,linear,GDINA,22
mp,0.03381859029996237,0.03440364042149002,0.003263134950322346,linear,GDINA,22
MAP,0.02749578383695535,0.015745945858732832,0.011981438691608155,linear,GDINA,23
mp,0.03202411055785431,0.032624136130755585,0.006408298617585929,linear,GDINA,23
MAP,0.03348127837245357,0.028334435426927262,0.015873707968388495,linear,GDINA,24
mp,0.03776437892249442,0.0412579463767928,0.010017320729339061,linear,GDINA,24
MAP,0.026070665979563028,0.021406902179386598,0.005907826989423794,linear,GDINA,25
mp,0.02986039841204364,0.037038908507704964,0.004990963642194298,linear,GDINA,25
MAP,0.031170433432393264,0.029436591027930704,0.0043295840321059395,linear,GDINA,26
mp,0.035572401945162015,0.04079424985144705,0.00425100283646907,linear,GDINA,26
MAP,0.02752840964093731,0.023468188415226608,0.01035480185534775,linear,GDINA,27
mp,0.03193999486570369,0.0339115212952183,0.005173458581297024,linear,GDINA,27
MAP,0.02507801220482766,0.015655660908566543,0.007838751344692318,linear,GDINA,28
mp,0.030115427505857915,0.030488409449281224,0.008472552349324739,linear,GDINA,28
MAP,0.029804055895984116,0.026590010441910453,0.008702940243863812,linear,GDINA,29
mp,0.03593484028192521,0.038112377857228236,0.0030398966509436664,linear,GDINA,29
MAP,0.031245974582103937,0.022695658824981223,0.008419901499119852,linear,GDINA,30
mp,0.03553734201219076,0.03757103325561278,0.005734280155525643,linear,GDINA,30
MAP,0.03216791791098989,0.01521614652394659,0.006563974759218008,linear,GDINA,31
mp,0.03613917024710562,0.039921552857575905,0.004876013581398616,linear,GDINA,31
MAP,0.026311217896959994,0.01190292510061351,0.012128764703022746,linear,GDINA,32
mp,0.03099266195977077,0.03211357540471413,0.008496237320779532,linear,GDINA,32
MAP,0.02802375284313315,0.019856378417289402,0.006873406499340548,linear,GDINA,33
mp,0.032257713609814206,0.03211444146426837,0.0072991206754356875,linear,GDINA,33
MAP,0.037905980856001414,0.03942797745955032,0.013185707054939277,linear,GDINA,34
mp,0.04169022828746528,0.05321125714493822,0.010275446597194836,linear,GDINA,34
MAP,0.03564485611127379,0.033799177411705336,0.008611003509908049,linear,GDINA,35
mp,0.03974082590646773,0.047480290814622156,0.007114657808244134,linear,GDINA,35
MAP,0.03163680359232036,0.02410682579944636,0.005162245289003605,linear,GDINA,36
mp,0.03640334226370762,0.03681713779239108,0.0028311557210890475,linear,GDINA,36
MAP,0.033809284289689934,0.035053787619803496,0.012212543273325183,linear,GDINA,37
mp,0.03724114585311966,0.05000254621879296,0.005051425355192307,linear,GDINA,37
MAP,0.029889842372859046,0.015822742490686305,0.009912895692297355,linear,GDINA,38
